,klant,eigenaar,product_soort,locatie,kwaliteit,klantaanduiding,batch_nummer,batch_volg_nummer,kl_lengte,klant_breedte,klant_dikte,lm_lengte_,lm_breedte,lm_dikte,administratief_gewicht,aantal_stuks,totaal_gealloceerd,coil_nummer_leverancier,klantreferentie,attest_nummer,eerste_charge_nummer,verkoop_order_nummer,omschrijving,binnendiam_coil,buitendiam_coil,binnenbreedte_coil,buitenbreedte_coil,tekst,aanvoerdatum,laatste_transactie,werkbonnummer,bewerking,STATUS,lijst_van_bewerk,werkbonnummer2,bewerking3,STATUS4,lijst_van_bewerk5,laadlijstnummer,geolied,gebeitst,bezoomd,materiaal_status,afroep_referentie,leverdatum,afleveradres,verpakking,Gestempeld,a_nummer,gekoppeld_aan_afroep,bewerking_referentie,coilnummer_leverancier
11632,Felicia Roman DVM,Lori Sherman,PLAAT,LA05,S235J,S235JR+N,T6310,1.0,6300.0,2000.0,4,6300.0,2000.0,4,3960,10,,LSC 086111,532,280164,999,76161,915,,,,,339181716,2020-05-26,2020-05-26,78949,,,,87107,,,,91805073,0.0,0.0,0.0,,,,"5356 Baker Via Apt. 899
Evanport, CT 96859",onbekend,,1,,4018,5929274
11633,Stephen Chan,Chase Johnson,COILS,MGZN,S235J,S235JR+AR,T6311,0.0,0.0,1250.0,"9,99",0.0,1263.0,10,24300,1,,4H797520,34726,22891416,1335357,907,90,750.0,1943.0,1263.0,1263.0,744,2020-05-25,2020-05-26,11914924,,,,4221,,,,914454,0.0,0.0,0.0,,,,"42906 Weber Drives Apt. 226
Travischester, VT 15741",onbekend,,1380,,8,23
11634,Joseph Mays,Mr. Jacob Rowe,PLAAT,NL11,S420,S420ML GG,T6312,2.0,3000.0,1500.0,15,3000.0,1500.0,15,2160,4,,4100972,1,4778,512952577,3437579,7427276,,,,,8347892,2020-05-29,2020-05-29,8,VERPAKKEN,3,BE+VP,199,VERPAKKEN,3,BE+VP,88,1.0,1.0,0.0,,,,"7646 Rodgers Circle
Hamiltonberg, WV 89077",PACKE,0.0,21023848,,944004730,2946
11635,Gail Howard,Keith Harris,PLAAT,NL11,S420,S420ML GG,T6312,3.0,3000.0,1500.0,15,3000.0,1500.0,15,2160,4,,4100972,955,44989792,8,58972903,3823,,,,,414546,2020-05-29,2020-05-29,69,VERPAKKEN,3,BE+VP,6753937,VERPAKKEN,3,BE+VP,6,1.0,1.0,0.0,,,,"467 Steven Fall Suite 021
East Michaelton, SD 28304",PACKE,0.0,782169973,,1491239,72637
11636,Malik Watts,Lisa Carroll,PLAAT,NL11,S420,S420ML GG,T6312,4.0,3000.0,1500.0,15,3000.0,1500.0,15,2160,4,,4100972,55583,0,38985,6359925,3,,,,,34,2020-05-29,2020-05-29,679,VERPAKKEN,3,BE+VP,808,VERPAKKEN,3,BE+VP,4,1.0,1.0,0.0,,,,"2473 Christian Courts Suite 238
Lake Katherineton, FL 62941",PACKE,0.0,284,,204668,729780
11637,Scott Hill,Molly Patel,PLAAT,NL11,S420,S420ML GG,T6312,5.0,3000.0,1500.0,15,3000.0,1500.0,15,2160,4,,4100972,17,41135,4484,1095,976307,,,,,6513161,2020-05-29,2020-05-29,8590,VERPAKKEN,3,BE+VP,2,VERPAKKEN,3,BE+VP,990501697,1.0,1.0,0.0,,,,"298 Parker Isle Apt. 450
Jacksonfort, ID 51217",PACKE,0.0,153453,,49059868,66235
11638,Andrew Berry,David Richardson,PLAAT,NL11,S420,S420ML GG,T6312,6.0,3000.0,1500.0,15,3000.0,1500.0,15,2160,4,,4100972,48,94,517,191,7,,,,,482362,2020-05-29,2020-05-29,451565788,VERPAKKEN,3,BE+VP,908363,VERPAKKEN,3,BE+VP,231816692,1.0,1.0,0.0,,,,"93483 Lopez Causeway
Lake Rodney, ND 74440",PACKE,0.0,154772704,,1742542,14714
11639,Angela Benjamin,Kristin Mckinney,COILS,MGZN,S355M,S355MC,T6313,0.0,0.0,1396.0,4,0.0,1401.0,"4,1",25780,1,,3692101100,17024897,12318,38,7240017,21835529,740.0,1555.0,1401.0,1401.0,357609688,2020-05-25,2020-05-26,856441951,,,,1,,,,2315,0.0,0.0,0.0,,,,"USNV Lopez
FPO AE 60961",onbekend,,365,,305689,337354
11640,Timothy Chavez,John Goodwin,COILS,MGZN,S355M,S355MC,T6314,0.0,0.0,1500.0,10,0.0,1507.0,"10,1",24540,1,,40600-01,42409,928,57389491,40833,90802,830.0,1843.0,1507.0,1507.0,53491516,2020-05-26,2020-05-27,37054,DECOILEN,P,DE+VP,9084135,,,,9635,0.0,0.0,0.0,,,,"791 Maria Mountains
Port Karen, AL 89415",onbekend,,3899,9256,9343657,3547087
11641,Amy Mullins,Gregory Smith,COILS,D157,S235J,S235JR,T6315,0.0,0.0,1500.0,5,0.0,1510.0,"4,95",24180,1,,4H812160,0,70686,2464367,4444047,39667400,740.0,1795.0,1510.0,1510.0,564630142,2020-05-25,2020-05-26,56884039,,,,7826,,,,7212296,0.0,0.0,0.0,,,,"6305 Smith Route
South Molly, MS 90800",onbekend,,281,,238728,844641
11642,Phillip West,Thomas Roth,COILS,MGZN,S235J,S235JR,T6316,0.0,0.0,1500.0,12,0.0,1507.0,"12,02",24220,1,,4H850910,3,13411520,1,835783,7,750.0,1797.0,1507.0,1507.0,686,2020-05-26,2020-05-29,3327511,,,,1023289,,,,237439742,0.0,0.0,0.0,,,,"969 Kelly Camp Suite 426
Michaelhaven, MI 87119",onbekend,,9,,16661509,7
11643,Toni Thompson,Phillip Moyer,COILS,MGZN,S235J,S235JR,T6318,0.0,0.0,1500.0,8,0.0,1504.0,"7,9",24300,1,,4H850840,554540,733073453,772563,6043359,89465,750.0,1795.0,1504.0,1504.0,66330,2020-05-26,2020-05-27,36,,,,9998,,,,2911,0.0,0.0,0.0,,,,"47903 Meyer Prairie
Port Karenshire, SD 23474",onbekend,,5606104,,362519,14
11644,Kevin Clark,Nathan Ruiz,COILS,MGZN,S235J,S235JR,T6319,0.0,0.0,1000.0,6,0.0,1015.0,"6,05",21260,1,,4H755620,32365719,52,128186,5422281,42345,740.0,2015.0,1015.0,1015.0,95,2020-05-26,2020-05-27,13,,,,6840,,,,95588808,0.0,0.0,0.0,,,,"118 Howard Trace
New Juanberg, NM 53820",onbekend,,1,,71,8100
11645,Jessica Sullivan,Jeremy Donaldson DVM,COILS,MGZN,S355J,S355JR+AR,T6320,0.0,0.0,1520.0,"3,95",0.0,1523.0,"3,85",15640,1,,4223811,3710635,6583,1791,7465714,896,750.0,1497.0,1523.0,1523.0,8,2020-05-26,2020-05-27,552,,,,31360,,,,12,0.0,0.0,0.0,,,,"046 Powell Dale
Hubbardchester, FM 19256",onbekend,,476,,6321,613596
11646,Thomas Welch,Wendy Swanson,PLAAT,NL10,S420,S420ML GG,T6321,2.0,3000.0,1500.0,15,3000.0,1500.0,15,"2156,67",4,,41009722,6505689,5499,34628439,27,80484,,,,,4,2020-06-05,2020-06-05,751309613,VERPAKKEN,3,BE+VP,843135369,VERPAKKEN,3,BE+VP,47070,1.0,1.0,0.0,,,,"141 Erik Drive
Dawnmouth, VT 95973",PACKE,0.0,5939,,5388242,936
11647,Brenda Castro,Elizabeth Warren,PLAAT,NL10,S420,S420ML GG,T6321,3.0,3000.0,1500.0,15,3000.0,1500.0,15,"2156,67",4,,41009722,0,720938652,99227564,535268,746723158,,,,,14372,2020-06-05,2020-06-05,100,VERPAKKEN,3,BE+VP,1752005,VERPAKKEN,3,BE+VP,67946563,1.0,1.0,0.0,,,,"1314 Megan Village Suite 902
South Laura, MN 83051",PACKE,0.0,9,,8515268,378222
11648,Stephanie Thomas,Natalie Moss,PLAAT,NL10,S420,S420ML GG,T6321,4.0,3000.0,1500.0,15,3000.0,1500.0,15,"2156,67",4,,41009722,7709,519189,9548,2167,91,,,,,869,2020-06-05,2020-06-05,506,VERPAKKEN,3,BE+VP,589068626,VERPAKKEN,3,BE+VP,5,1.0,1.0,0.0,,,,"51597 Lee Views
Ashleyborough, TN 01509",PACKE,0.0,161969228,,987661,6326035
11649,Mr. Daniel Santos,Paul Hines,PLAAT,NL10,S420,S420ML GG,T6321,5.0,3000.0,1500.0,15,3000.0,1500.0,15,"2156,67",4,,41009722,16054,261420454,958,38502083,70064050,,,,,7580,2020-06-05,2020-06-05,2,VERPAKKEN,3,BE+VP,810562295,VERPAKKEN,3,BE+VP,21333958,1.0,1.0,0.0,,,,"5864 Linda Mews Apt. 085
West Douglas, VA 82408",PACKE,0.0,522,,9456780,180
11650,Ms. Kimberly Medina,Hector Sanford,PLAAT,NL10,S420,S420ML GG,T6321,6.0,3000.0,1500.0,15,3000.0,1500.0,15,"2156,67",4,,41009722,79,164363,1,9240093,602,,,,,349,2020-06-05,2020-06-05,6394037,VERPAKKEN,3,BE+VP,16476346,VERPAKKEN,3,BE+VP,1977956,1.0,1.0,0.0,,,,"0353 Smith Trace Suite 816
Lake Alecport, VI 79142",PACKE,0.0,990829,,6546509,518
11651,Kristi Jennings,Jonathan Rodriguez,PLAAT,NL10,S420,S420ML GG,T6321,7.0,3000.0,1500.0,15,3000.0,1500.0,15,"2156,65",4,,41009722,163,57,8243961,7,21,,,,,888,2020-06-05,2020-06-05,334221304,VERPAKKEN,3,BE+VP,9724,VERPAKKEN,3,BE+VP,375573,1.0,1.0,0.0,,,,"1341 Brian Turnpike Apt. 886
New Benjamin, MT 19676",PACKE,0.0,153,,65337,81747
11652,Jay Fisher,Kimberly Perez,PLAAT,LC07,S355M,S355MC,T6322,1.0,3000.0,1500.0,10,3000.0,1512.0,"9,82","2163,22",6,,2381103,1687,23707808,73689,8,9095,750.0,1787.0,1512.0,1512.0,252165138,2020-06-02,2020-06-04,95,,,,22702121,DECOILEN,3,DE,2959,0.0,0.0,0.0,,,,"65507 Parker Rest Suite 115
New Michaelport, MI 05049",PACKB,0.0,91,,117757264,525261879
11653,Rebecca Tucker,Heather Price,PLAAT,LC07,S355M,S355MC,T6322,2.0,3000.0,1500.0,10,3000.0,1512.0,"9,82","2163,22",6,,2381103,709036,23,3,42804,80,750.0,1787.0,1512.0,1512.0,1,2020-06-02,2020-06-04,818443,,,,22,DECOILEN,3,DE,955518,0.0,0.0,0.0,,,,"79493 Ashlee Point
Thomasburgh, WI 49295",PACKB,0.0,7720833,,70,75213
11654,Andrew Meyer,Amber Adams,PLAAT,LC07,S355M,S355MC,T6322,3.0,3000.0,1500.0,10,3000.0,1512.0,"9,82","2163,22",6,,2381103,9125,56,18667787,507159,72,750.0,1787.0,1512.0,1512.0,55753,2020-06-02,2020-06-04,2826,,,,75,DECOILEN,3,DE,65,0.0,0.0,0.0,,,,"94835 Allen Street
South Nicole, MO 07712",PACKB,0.0,683944,,897,3
11655,Katherine Harvey,Jaime Huff,PLAAT,LC07,S355M,S355MC,T6322,4.0,3000.0,1500.0,10,3000.0,1512.0,"9,82","2163,22",6,,2381103,18,936,855852,64699,75883,750.0,1787.0,1512.0,1512.0,74703630,2020-06-02,2020-06-04,9013,,,,499,DECOILEN,3,DE,6,0.0,0.0,0.0,,,,"4034 Mason Plaza Apt. 242
Judithmouth, VT 60612",PACKB,0.0,5103,,53843044,65
11656,William Lindsey,Susan Contreras,PLAAT,LC07,S355M,S355MC,T6322,5.0,3000.0,1500.0,10,3000.0,1512.0,"9,82","2163,22",6,,2381103,24204313,8912591,809,3845125,716850,750.0,1787.0,1512.0,1512.0,92,2020-06-02,2020-06-04,24,,,,7,DECOILEN,3,DE,4,0.0,0.0,0.0,,,,"413 Malone Divide
North Emilymouth, PW 22257",PACKB,0.0,3,,96717,535
11657,Brittney Gibson,Patricia Ross,PLAAT,LC30,S355M,S355MC,T6322,6.0,3000.0,1500.0,10,3000.0,1512.0,"9,82","2163,22",6,,2381103,40793050,58,61,897,0,750.0,1787.0,1512.0,1512.0,36127,2020-06-02,2020-06-03,1245,,,,38894,DECOILEN,3,DE,472717,0.0,0.0,0.0,,,,"86139 Bautista Cape Suite 369
Butlerborough, KY 48094",PACKB,0.0,2537169,,6728130,653894
11658,Aaron Baker,Andrea Jones,PLAAT,LC31,S355M,S355MC,T6322,7.0,3000.0,1500.0,10,3000.0,1512.0,"9,82","2163,22",6,,2381103,716489,7378,42568217,49470227,5908,750.0,1787.0,1512.0,1512.0,244169,2020-06-02,2020-06-02,2,,,,28,DECOILEN,3,DE,1,0.0,0.0,0.0,,,,"70816 John Cove
Robertland, ID 70709",PACKB,0.0,9356,,9,6937700
11659,Donna Bell,Susan Dillon,PLAAT,LC31,S355M,S355MC,T6322,8.0,3000.0,1500.0,10,3000.0,1512.0,"9,82","2163,22",6,,2381103,807,76163893,4949,91,7223993,750.0,1787.0,1512.0,1512.0,9,2020-06-02,2020-06-02,17,,,,19640,DECOILEN,3,DE,275497,0.0,0.0,0.0,,,,"34888 John Rue Apt. 946
New Amanda, VI 28036",PACKB,0.0,5805516,,5,1910531
11660,Michael Johnson,Lori Duran,PLAAT,LC31,S355M,S355MC,T6322,9.0,3000.0,1500.0,10,3000.0,1512.0,"9,82","2163,22",6,,2381103,14614,11,419,1,4,750.0,1787.0,1512.0,1512.0,9943,2020-06-02,2020-06-02,31386284,,,,220,DECOILEN,3,DE,8,0.0,0.0,0.0,,,,"754 Gonzalez Ferry Apt. 765
Kylechester, NM 33162",PACKB,0.0,658015,,5900,433026
11661,Daniel Miller,Michael Adams,PLAAT,LC31,S355M,S355MC,T6322,10.0,3000.0,1500.0,10,3000.0,1512.0,"9,82","2163,22",6,,2381103,48760,92,417,572,35,750.0,1787.0,1512.0,1512.0,31623,2020-06-02,2020-06-02,6,,,,1,DECOILEN,3,DE,9765141,0.0,0.0,0.0,,,,"17867 Michelle Locks
New Steven, DE 38780",PACKB,0.0,591,,470331,56004993
11662,Mary King,Veronica Carter,PLAAT,LC31,S355M,S355MC,T6322,11.0,3000.0,1500.0,10,3000.0,1512.0,"9,82","2163,22",6,,2381103,17241420,7520,6340830,25,626,750.0,1787.0,1512.0,1512.0,791,2020-06-02,2020-06-02,8961,,,,1,DECOILEN,3,DE,708,0.0,0.0,0.0,,,,"15036 Martin Extensions Suite 149
New Alexandraport, NM 30187",PACKB,0.0,421192,,5,5963
11663,Janet Durham,Peter Chambers,PLAAT,LC31,S355M,S355MC,T6322,12.0,3000.0,1500.0,10,3000.0,1512.0,"9,82","360,58",1,,2381103,78775585,6713384,28,415,0,750.0,1787.0,1512.0,1512.0,7,2020-06-02,2020-06-02,8089,,,,9171740,DECOILEN,3,DE,19,0.0,0.0,0.0,,,,"2496 Miller Run
Cherylfurt, NV 19800",PACKB,0.0,8126142,,171,9197004
11664,Michael Thompson,Madison Adkins,COILS,MGZN,S235J,S235JR+AR,T6323,0.0,0.0,1250.0,"9,99",0.0,1263.0,"9,89",24420,1,,4H822200,606033,84338055,33081,33,4359,750.0,1940.0,1263.0,1263.0,33683,2020-05-26,2020-05-27,23562849,,,,931,,,,2,0.0,0.0,0.0,,,,"33064 Wu Field
South Patrick, GU 15955",onbekend,,975802,,536040282,56
11665,Michelle Matthews,Matthew Carlson,PLAAT,LC33,S500M,Ympress S500MC,T6324,1.0,3000.0,1500.0,10,3000.0,1500.0,"9,85","2218,63",6,"2218,63",1927046,463133248,0,5769,281766,51838927,750.0,1815.0,1543.0,1543.0,59758274,2020-05-28,2020-06-03,708,,,,9999048,DECOILEN,3,DE,90,0.0,0.0,1.0,,ESBB341601/1452,2020-05-27,"781 Green Well
Conleyburgh, NC 78725",PACKB,1.0,14616,,9828,41297
11666,Denise Morgan,Meredith Hicks,PLAAT,LC33,S500M,Ympress S500MC,T6324,2.0,3000.0,1500.0,10,3000.0,1500.0,"9,85","2218,63",6,"2218,63",1927046,81,16,5,523717,623,750.0,1815.0,1543.0,1543.0,38418810,2020-05-28,2020-06-03,84078,,,,669532,DECOILEN,3,DE,653618870,0.0,0.0,1.0,,ESBB341601/1452,2020-05-27,"Unit 0360 Box 0336
DPO AA 07017",PACKB,1.0,3718378,,98420,0
11667,Keith Meyer,Dustin Chase,PLAAT,LC33,S500M,Ympress S500MC,T6324,3.0,3000.0,1500.0,10,3000.0,1500.0,"9,85","2218,63",6,"2218,63",1927046,2109,19,7691007,8,2,750.0,1815.0,1543.0,1543.0,9793,2020-05-28,2020-06-03,45121,,,,88700,DECOILEN,3,DE,98413571,0.0,0.0,1.0,,ESBB341601/1452,2020-05-27,"0257 Brandon Mews
Ashleyshire, PA 80452",PACKB,1.0,479,,401,311926
11668,Elizabeth Patterson,Joseph Hernandez,PLAAT,LC33,S500M,Ympress S500MC,T6324,4.0,3000.0,1500.0,10,3000.0,1500.0,"9,85","2218,63",6,"2218,63",1927046,40259568,10446739,83318,358374,31870897,750.0,1815.0,1543.0,1543.0,12787828,2020-05-28,2020-06-03,95871940,,,,76,DECOILEN,3,DE,567778064,0.0,0.0,1.0,,ESBB341601/1452,2020-05-27,"880 Amanda Rapids Apt. 338
Melissamouth, PW 32169",PACKB,1.0,66,,130367,3419856
11669,Benjamin Gray,Sabrina Marshall,PLAAT,LC32,S500M,Ympress S500MC,T6324,5.0,3000.0,1500.0,10,3000.0,1500.0,"9,85","2218,63",6,"2218,63",1927046,3,16940662,1613779,95,318560873,750.0,1815.0,1543.0,1543.0,8635,2020-05-28,2020-05-28,540207954,,,,19161,DECOILEN,3,DE,67300288,0.0,0.0,1.0,,ESBB341601/1452,2020-05-27,"41717 Andres Views Suite 595
Kennedyport, AK 55980",PACKB,1.0,3539,,58692160,10
11670,Steve Smith,Ariana Roberts,PLAAT,LC33,S500M,Ympress S500MC,T6324,6.0,3000.0,1500.0,10,3000.0,1500.0,"9,85","2218,63",6,"2218,63",1927046,256,8131308,64,84828,9503772,750.0,1815.0,1543.0,1543.0,93372,2020-05-28,2020-06-03,4054908,,,,4702406,DECOILEN,3,DE,6,0.0,0.0,1.0,,ESBB341601/1452,2020-05-27,"87014 Carly Groves
New Dennisside, WI 81237",PACKB,1.0,3300,,1784,4196492
11671,Emily Le,Christopher Johnson,PLAAT,LC33,S500M,Ympress S500MC,T6324,7.0,3000.0,1500.0,10,3000.0,1500.0,"9,85","2218,63",6,"2218,63",1927046,8991485,2880,21967590,20422311,327,750.0,1815.0,1543.0,1543.0,1,2020-05-28,2020-06-03,330510259,,,,90957,DECOILEN,3,DE,137704421,0.0,0.0,1.0,,ESBB341601/1452,2020-05-27,"0677 Paul Way
South Sue, OR 81951",PACKB,1.0,896969146,,8,592693579
11672,Rachael Gordon,Jasmine Kramer,PLAAT,LC33,S500M,Ympress S500MC,T6324,8.0,3000.0,1500.0,10,3000.0,1500.0,"9,85","2218,63",6,"2218,63",1927046,7963401,87795,36240,58,696327522,750.0,1815.0,1543.0,1543.0,97,2020-05-28,2020-06-03,97601,,,,255582081,DECOILEN,3,DE,10759,0.0,0.0,1.0,,ESBB341601/1452,2020-05-27,"773 Henson Cliff
Susanberg, WI 30270",PACKB,1.0,9,,560884799,1466
11673,Darren Ho,Kristina Robinson,PLAAT,LC33,S500M,Ympress S500MC,T6324,9.0,3000.0,1500.0,10,3000.0,1500.0,"9,85","2218,63",6,"2218,63",1927046,4,243750,878,215,42,750.0,1815.0,1543.0,1543.0,9748017,2020-05-28,2020-06-03,501600,,,,555801967,DECOILEN,3,DE,367539015,0.0,0.0,1.0,,ESBB341601/1452,2020-05-27,"85418 Shelley Rest
South Johnburgh, LA 49344",PACKB,1.0,722607,,614939901,3510
11674,Nathaniel Stafford,Daniel Johnson,PLAAT,LC33,S500M,Ympress S500MC,T6324,10.0,3000.0,1500.0,10,3000.0,1500.0,"9,85","2218,63",6,"2218,63",1927046,86522,6339061,17,130,7,750.0,1815.0,1543.0,1543.0,887974107,2020-05-28,2020-06-03,8,,,,108,DECOILEN,3,DE,988,0.0,0.0,1.0,,ESBB341601/1452,2020-05-27,"4888 Morris Mountains Suite 515
Paigeview, VA 74857",PACKB,1.0,979,,7586,80976802
11675,David Jones Jr.,Sandra Gutierrez,PLAAT,LC33,S500M,Ympress S500MC,T6324,11.0,3000.0,1500.0,10,3000.0,1500.0,"9,85","2218,63",6,"2218,63",1927046,855,7896,130531286,4,29,750.0,1815.0,1543.0,1543.0,49464,2020-05-28,2020-06-03,2100,,,,84421,DECOILEN,3,DE,30753508,0.0,0.0,1.0,,ESBB341601/1452,2020-05-27,"44526 Diana Brook
Campbellton, FM 59669",PACKB,1.0,1628,,998010,3
11676,Cristina Green,Bonnie Perkins,PLAAT,LC33,S500M,Ympress S500MC,T6324,12.0,3000.0,1500.0,10,3000.0,1500.0,"9,85","369,75",1,"369,75",1927046,3393622,998,829424783,5497,86554,750.0,1815.0,1543.0,1543.0,171,2020-05-28,2020-06-03,973326,,,,8,DECOILEN,3,DE,74,0.0,0.0,1.0,,ESBB341601/1452,2020-05-27,"PSC 6812, Box 6202
APO AA 18592",PACKB,1.0,947,,8,495907262
11677,Christina White,Spencer Soto,COILS,D133,S235J,S235JR+AR,T6325,0.0,0.0,1515.0,2,0.0,1532.0,"1,92",21560,1,,6H798410,30009,2015,825325,8,7,750.0,1700.0,1532.0,1532.0,6534,2020-05-26,2020-05-27,935306,DECOILEN,P,DE,9258,,,,743682,0.0,0.0,0.0,,,,"006 Joseph Green
Torresmouth, WV 30416",onbekend,,832150,,723804466,280
11678,Kimberly Reyes,James Gilmore MD,COILS,MGZN,S355M,S355MC,T6326,0.0,0.0,1386.0,4,0.0,1407.0,"3,9",14860,1,,5808385100,73,9640325,3,4691432,14742404,750.0,1515.0,1407.0,1407.0,495176,2020-05-26,2020-05-27,69,,,,47,,,,37,0.0,0.0,0.0,,,,"3528 Hall Path Suite 816
Lake Julie, AR 10714",onbekend,,1892915,,98,1
11679,Brenda Pham,Carla Harrell,COILS,MGZN,S235J,S235JR+N,T6327,0.0,0.0,1500.0,10,0.0,1515.0,"9,9",27200,1,,4227501,761287,710013221,850941261,9587007,1136098,750.0,1875.0,1515.0,1515.0,22850,2020-05-26,2020-05-27,5,,,,2786031,,,,975,0.0,0.0,0.0,,,,"690 Carter Streets
South Alexandertown, WA 87249",onbekend,,274,,405,468656
11680,Emily Gallagher,Kelly Hayes,COILS,MGZN,S355J,S355JR+AR,T6328,0.0,0.0,1520.0,"5,95",0.0,1538.0,"5,85",15940,1,,4233141,1000768,5869,88,89222,170,750.0,1515.0,1538.0,1538.0,65075,2020-05-26,2020-05-27,40,,,,7589,,,,92738551,0.0,0.0,0.0,,,,"7488 Miller Street Apt. 085
South Ashley, GU 32197",onbekend,,416,,2420,6578
11681,Michael Johnson,Jennifer Price,COILS,MGZN,S235J,S235JR+AR,T6329,0.0,0.0,1250.0,"9,99",0.0,1263.0,"9,89",24160,1,,4H797510,3429,8665020,81420,1643594,8729520,750.0,1950.0,1263.0,1263.0,491,2020-05-26,2020-05-27,30199,,,,7258,,,,96,0.0,0.0,0.0,,,,"2258 Hicks Lodge
Kathyside, AL 25714",onbekend,,465923,,3054,749746048
11682,Megan Green,William Hodges,PLAAT,NL13,S420M,S420MC GG,T6331,2.0,2500.0,1250.0,8,2500.0,1250.0,8,"2562,86",13,,LSC 085368,46,5817745,47742392,31939,144999407,,,,,5815484,2020-06-02,2020-06-02,169708748,VERPAKKEN,3,BE+VP,9941,VERPAKKEN,3,BE+VP,164,1.0,1.0,0.0,,,,"2215 Jake Station Suite 552
Taylorstad, ND 97536",PACKI,0.0,68778,,447657,666558607
11683,Mrs. Amanda Johnson,Andrew Thomas,PLAAT,NL13,S420M,S420MC GG,T6331,3.0,2500.0,1250.0,8,2500.0,1250.0,8,"1577,14",8,,LSC 085368,1,310361023,175151,35,72,,,,,75017715,2020-06-02,2020-06-02,81,VERPAKKEN,3,BE+VP,384805201,VERPAKKEN,3,BE+VP,5,1.0,1.0,0.0,,,,"99943 Harris Harbors
Lake Dennisside, LA 45630",PACKI,0.0,3,,602,7513
11684,James Hunt,Stephanie Parker,PLAAT,NL13,S420M,S420MC GG,T6332,2.0,2500.0,1250.0,8,2500.0,1250.0,8,"2556,66",13,,LSC 085444,25813,255519276,430194907,409659,667730,,,,,981129,2020-06-02,2020-06-02,8512,VERPAKKEN,3,BE+VP,3727576,VERPAKKEN,3,BE+VP,0,1.0,1.0,0.0,,,,"16180 Rhonda Rest
East Petertown, AS 16384",PACKI,0.0,46379275,,657849,29038
11685,Timothy Jones,Brendan Gardner,PLAAT,NL13,S420M,S420MC GG,T6332,3.0,2500.0,1250.0,8,2500.0,1250.0,8,"2163,34",11,,LSC 085444,56148619,896,907262,47434266,90,,,,,57,2020-06-02,2020-06-02,5670,VERPAKKEN,3,BE+VP,90663434,VERPAKKEN,3,BE+VP,7,1.0,1.0,0.0,,,,"937 Courtney Knolls
New Ruben, FL 99125",PACKI,0.0,363,,3482618,6325659
11686,Jason Hancock,Martin Becker,PLAAT,NL09,S235J,S235JR GG,T6333,2.0,3000.0,1500.0,25,3000.0,1500.0,25,"1773,33",2,,LSC 086301,697,860741,121,6273,78539,,,,,3311,2020-06-02,2020-06-02,781,VERPAKKEN,3,BE+VP,7622405,VERPAKKEN,3,BE+VP,645295,1.0,1.0,0.0,,,,"861 Lloyd Land Apt. 313
New Kevin, DE 92066",PACKE,0.0,38213,,9,9762718
11687,William Stanton,Michael Lewis,PLAAT,NL09,S235J,S235JR GG,T6333,3.0,3000.0,1500.0,25,3000.0,1500.0,25,"1773,33",2,,LSC 086301,207089,905385260,5501,721991,9330,,,,,6,2020-06-02,2020-06-02,9861,VERPAKKEN,3,BE+VP,762,VERPAKKEN,3,BE+VP,7485835,1.0,1.0,0.0,,,,"49147 Hall Lock
Ricardoshire, DC 72806",PACKE,0.0,234403252,,530711291,604341646
11688,Robert Wong,Kimberly Williams,PLAAT,NL09,S235J,S235JR GG,T6333,4.0,3000.0,1500.0,25,3000.0,1500.0,25,"1773,33",2,,LSC 086301,9761,638049,11524894,639168405,1977656,,,,,7213,2020-06-02,2020-06-02,923266,VERPAKKEN,3,BE+VP,12128,VERPAKKEN,3,BE+VP,1451414,1.0,1.0,0.0,,,,"75085 Smith Park Apt. 597
Amandahaven, VI 15129",PACKE,0.0,25887743,,962,8050963
11689,William Blake,Edward Nelson,PLAAT,NL09,S235J,S235JR GG,T6333,5.0,3000.0,1500.0,25,3000.0,1500.0,25,"1773,33",2,,LSC 086301,80952,1,1969510,9542713,43627123,,,,,75156,2020-06-02,2020-06-02,240,VERPAKKEN,3,BE+VP,36806,VERPAKKEN,3,BE+VP,94,1.0,1.0,0.0,,,,"650 Owens Street
Katieport, AS 28532",PACKE,0.0,37949,,0,385742
11690,Tanya Mills,Barbara Green,PLAAT,NL09,S235J,S235JR GG,T6333,6.0,3000.0,1500.0,25,3000.0,1500.0,25,"1773,33",2,,LSC 086301,979648876,46,79716526,615578,125401923,,,,,56,2020-06-02,2020-06-02,232818,VERPAKKEN,3,BE+VP,2,VERPAKKEN,3,BE+VP,44557,1.0,1.0,0.0,,,,"679 Morales Grove
Charlesbury, MN 18049",PACKE,0.0,51,,116239416,4564
11691,Thomas Krueger,Andre Walker,PLAAT,NL09,S235J,S235JR GG,T6333,7.0,3000.0,1500.0,25,3000.0,1500.0,25,"1773,35",2,,LSC 086301,94930252,17,1777842,204549,598698,,,,,28,2020-06-02,2020-06-02,94357277,VERPAKKEN,3,BE+VP,58090941,VERPAKKEN,3,BE+VP,79904779,1.0,1.0,0.0,,,,"PSC 6499, Box 8766
APO AE 83378",PACKE,0.0,79734,,442,52233156
11692,Amy Martin,Brian Bishop,PLAAT,BUIT,S235J,S235JR,T6334,1.0,3000.0,1500.0,15,3000.0,1500.0,15,23220,44,,16927150,308941886,5350386,7,58695,14241848,,,,,59446725,2020-05-27,2020-05-27,6873479,,,,201,,,,272,0.0,0.0,0.0,,,,"Unit 7970 Box 2877
DPO AP 27344",onbekend,,11297490,,6,753
